maxAge,endDate,netIncome,depreciation,changeToNetincome,changeToLiabilities,totalCashFromOperatingActivities,capitalExpenditures,investments,otherCashflowsFromInvestingActivities,totalCashflowsFromInvestingActivities,netBorrowings,otherCashflowsFromFinancingActivities,totalCashFromFinancingActivities,changeInCash,dividendsPaid,type,kode,effectOfExchangeRate,repurchaseOfStock,issuanceOfStock,changeToOperatingActivities
1,2022-06-30,79984568000,35967505000,295844242000,0,411796315000,-9909205000.0,,-6036311000.0,-93862154000.0,-388341876000.0,57402512000.0,-330939364000.0,-5489702000,,Q,ASRI.JK,7515501000.0,,,
1,2022-03-31,136855702000,35933597000,282165518000,0,454954817000,-4084680000.0,,-60050588000.0,-126410262000.0,-38779193000.0,-23260651000.0,-62039844000.0,268257212000,,Q,ASRI.JK,1752501000.0,,,
1,2021-12-31,284644081000,58848596000,249684252000,0,593176929000,-2451838000.0,,-87931338000.0,-158403779000.0,-38763193000.0,-241193515000.0,-279956708000.0,153700545000,,Q,ASRI.JK,-1115897000.0,,,
1,2021-09-30,105963691000,26090392000,321620665000,0,453674748000,-4204730000.0,,-81332358000.0,-118617393000.0,-162010391000.0,-33993715000.0,-196004106000.0,136885571000,,Q,ASRI.JK,-2167678000.0,,,
1,2021-12-31,31422660000000,2138107000000,12138894000000,0,-7587786000000,-3061820000000.0,-37967449000000.0,-233598000000.0,-41247858000000.0,-365389000000.0,133774104000000.0,119675875000000.0,70997448000000,-13732840000000.0,A,BBCA.JK,157217000000.0,,,-54483984000000.0
1,2020-12-31,27131109000000,2240482000000,6603557000000,0,-87642050000000,-2282555000000.0,-41159283000000.0,-382035000000.0,-44117844000000.0,-1919047000000.0,138620925000000.0,123067657000000.0,-6796308000000,-13634221000000.0,A,BBCA.JK,1895929000000.0,,,-126544281000000.0
1,2019-12-31,28565053000000,1693877000000,2667969000000,0,-19188006000000,-2675281000000.0,-31171536000000.0,1445000000.0,-34732414000000.0,1417633000000.0,71130046000000.0,63795150000000.0,9755985000000,-8752529000000.0,A,BBCA.JK,-118745000000.0,,,-53679563000000.0
1,2018-12-31,25855154000000,1667298000000,-1029722000000,0,-41903576000000,-2347223000000.0,22952844000000.0,11640000000.0,20627654000000.0,-887347000000.0,46816138000000.0,39518489000000.0,19934121000000,-6410302000000.0,A,BBCA.JK,1691554000000.0,,,-70260290000000.0
1,2022-06-30,9985038000000,556471000000,1019784000000,0,83003448000000,-605981000000.0,-8349477000000.0,-48526000000.0,-9001472000000.0,-232175000000.0,10348327000000.0,-4676854000000.0,69588757000000,-14793006000000.0,Q,BBCA.JK,263635000000.0,,,70802393000000.0
1,2022-03-31,8064433000000,512179000000,3323113000000,0,-38097503000000,-505056000000.0,-74321000000.0,-82714000000.0,-661666000000.0,-57588000000.0,18840123000000.0,18782535000000.0,-19763734000000,-14793006000000.0,Q,BBCA.JK,212900000000.0,,,-47989226000000.0
