maxAge,endDate,totalRevenue,costOfRevenue,grossProfit,researchDevelopment,sellingGeneralAdministrative,nonRecurring,otherOperatingExpenses,totalOperatingExpenses,operatingIncome,totalOtherIncomeExpenseNet,ebit,interestExpense,incomeBeforeTax,incomeTaxExpense,minorityInterest,netIncomeFromContinuingOps,discontinuedOperations,extraordinaryItems,effectOfAccountingCharges,otherItems,netIncome,netIncomeApplicableToCommonShares,type,kode
1,2020-12-31,1413251961000,823342947000,589909014000,{},417128683000,{},{},1240471630000,172780331000,-1096017212000,172780331000,-742801578000,-923236881000,113380984000,99489192000,-1036617865000,{},{},{},{},-1027706333000,-1027706333000,A,ASRI.JK
1,2019-12-31,3475677175000,1289665209000,2186011966000,{},494117365000,{},{},1783782574000,1691894601000,-488838212000,1691894601000,-595400737000,1203056389000,190109077000,109127282000,1012947312000,{},{},{},{},1011628134000,1011628134000,A,ASRI.JK
1,2018-12-31,3975258160000,1541400290000,2433857870000,{},455911945000,{},{},1997312235000,1977945925000,-823043661000,1977945925000,-442404865000,1154902264000,184315664000,107853641000,970586600000,{},{},{},{},970096143000,970096143000,A,ASRI.JK
1,2022-06-30,1006714393000,403163833000,603550560000,{},122235094000,{},{},525398927000,481315466000,-385313016000,481315466000,-220690352000,96002450000,14545584000,98543027000,81456866000,{},{},{},{},79984568000,79984568000,Q,ASRI.JK
1,2022-03-31,947191306000,452314113000,494877193000,{},93301933000,{},{},545616046000,401575260000,-239255393000,401575260000,-216479079000,162319867000,25272111000,97045011000,137047756000,{},{},{},{},136855702000,136855702000,Q,ASRI.JK
1,2021-12-31,1075468619000,484294021000,591174598000,{},90899451000,{},{},575193472000,500275147000,-181755147000,500275147000,-216594512000,318520000000,33038994000,96827237000,285481006000,{},{},{},{},284644081000,284644081000,Q,ASRI.JK
1,2021-09-30,662094942000,296972690000,365122252000,{},92030142000,{},{},389002832000,273092110000,-148648034000,273092110000,-191723692000,124444076000,18860531000,95835518000,105583545000,{},{},{},{},105963691000,105963691000,Q,ASRI.JK
1,2021-12-31,69144054000000,1887094000000,67256960000000,{},24920779000000,{},3495007000000,30302880000000,38841174000000,0,0,{},38841174000000,7401015000000,136172000000,31440159000000,{},{},{},{},31422660000000,31422660000000,A,BBCA.JK
1,2020-12-31,63531238000000,1444209000000,62087029000000,{},24723622000000,{},3778554000000,29946385000000,33584853000000,-16346000000,0,{},33568507000000,6421398000000,118383000000,27147109000000,{},{},{},{},27131109000000,27131109000000,A,BBCA.JK
1,2019-12-31,67022947000000,1517288000000,65505659000000,{},25772417000000,{},3432681000000,30722386000000,36300561000000,-11563000000,0,{},36288998000000,7719024000000,100225000000,28569974000000,{},{},{},{},28565053000000,28565053000000,A,BBCA.JK
1,2018-12-31,60353186000000,1285133000000,59068053000000,{},23762981000000,{},2508970000000,27557084000000,32796102000000,-90038000000,0,{},32706064000000,6854404000000,93743000000,25851660000000,{},{},{},{},25855154000000,25855154000000,A,BBCA.JK
1,2022-06-30,19737067000000,324148000000,19412919000000,{},6228001000000,{},839809000000,7391958000000,12345109000000,0,0,{},12345109000000,2356448000000,141783000000,9988661000000,{},{},{},{},9985038000000,9985038000000,Q,BBCA.JK
1,2022-03-31,17734669000000,575697000000,17158972000000,{},6568723000000,{},636925000000,7781345000000,9953324000000,0,0,{},9953324000000,1885576000000,138794000000,8067748000000,{},{},{},{},8064433000000,8064433000000,Q,BBCA.JK
1,2021-12-31,18809277000000,645440000000,18163837000000,{},6896632000000,{},1066957000000,8609029000000,10200248000000,0,0,{},10200248000000,1971802000000,136172000000,8228446000000,{},{},{},{},8223998000000,8223998000000,Q,BBCA.JK
1,2021-09-30,18153705000000,526938000000,17626767000000,{},5791768000000,{},1069106000000,7387812000000,10765893000000,0,0,{},10765893000000,2018036000000,131530000000,8747857000000,{},{},{},{},8742797000000,8742797000000,Q,BBCA.JK
1,2021-12-31,34987365000000,616038000000,34371327000000,{},20253648000000,{},2625611000000,23495297000000,11492068000000,1058919000000,0,{},12550987000000,1573936000000,2781605000000,10977051000000,{},{},{},{},10898518000000,10898518000000,A,BBNI.JK
1,2020-12-31,27896638000000,646616000000,27250022000000,{},19186278000000,{},3181268000000,23014162000000,4882476000000,229677000000,0,{},5112153000000,1790711000000,2679679000000,3321442000000,{},{},{},{},3280403000000,3280403000000,A,BBNI.JK
1,2019-12-31,40819158000000,641450000000,40177708000000,{},19105823000000,{},2819011000000,22566284000000,18252874000000,1116232000000,0,{},19369106000000,3860523000000,2488369000000,15508583000000,{},{},{},{},15384476000000,15384476000000,A,BBNI.JK
1,2018-12-31,39385208000000,582837000000,38802371000000,{},17881249000000,{},2335872000000,20799958000000,18585250000000,1235465000000,0,{},19820715000000,4728952000000,2296905000000,15091763000000,{},{},{},{},15015118000000,15015118000000,A,BBNI.JK
1,2022-06-30,11493570000000,166176000000,11327394000000,{},4906780000000,{},955917000000,6028873000000,5464697000000,482754000000,0,{},5947451000000,1050632000000,4248074000000,4896819000000,{},{},{},{},4840929000000,4840929000000,Q,BBNI.JK
