emiten,tanggal,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,repurchaseOfStock,issuanceOfStock,investments,changeToOperatingActivities
BHAT.JK,2020-12-31,0.0,-201307345505.0,-1469927867.0,200101072133.0,11524962822.0,-2992442546.0,,-1786169174.0,810293981.0,-205422092314.0,,-4429000000.0,-14121425977.0,-71414450.0,,206000000000.0,4198426259.0,
BHAT.JK,2019-12-31,0.0,-138843243790.0,-154638768138.0,145263231862.0,2870759989.0,-1215161011.0,,-7635149083.0,272622360.0,942497107.0,,2000000.0,-10778531432.0,-196787700.0,,299900000000.0,-139526550197.0,
BHAT.JK,2018-12-31,0.0,21471054861.0,-5169803995.0,-5169803995.0,989290255.0,4856621217.0,,-11444629649.0,153292731.0,27376256.0,,2000000.0,-12587212635.0,-503027100.0,,299900000000.0,21973923205.0,
IFSH.JK,2021-12-31,0.0,-92144851808.0,-27727197667.0,-44728725625.0,169518270736.0,-434674299.0,74764295.0,136364138839.0,27228876068.0,-26252186083.0,-17001527958.0,,-60383007965.0,-36015815708.0,,,-25000000.0,
IFSH.JK,2020-12-31,0.0,-5388625834.0,18517348099.0,18517348099.0,31935192392.0,4112098296.0,93838634.0,-9110462603.0,24921501070.0,-4141358550.0,-17001527958.0,,-65967156065.0,-1597267415.0,,,-25000000.0,
IFSH.JK,2019-12-31,0.0,-147104084327.0,-145650571071.0,36599428929.0,111790475821.0,-9500519529.0,-518262487.0,101522398356.0,31009839769.0,-6445419134.0,-4750000000.0,,-41277917234.0,-141188665193.0,,187000000000.0,-25000000.0,
IFSH.JK,2018-12-31,0.0,-30026694056.0,88142676805.0,73142676805.0,39425487426.0,27739707655.0,1407202932.0,-16783478026.0,22031004488.0,17952948130.0,-15000000000.0,,-78239969940.0,-47979642186.0,,187000000000.0,-25000000.0,
BRAM.JK,2021-12-31,0.0,-5566876.0,3106457.0,-17562228.0,24973072.0,-9731929.0,-787.0,13397962.0,8932248.0,166973.0,-18942505.0,-1726180.0,-20507358.0,-5719164.0,,,,
BRAM.JK,2020-12-31,0.0,-780596.0,2785043.0,-4922039.0,-3895537.0,-2733950.0,-3083.0,2971768.0,14258252.0,173056.0,-6390682.0,-1316400.0,-7390947.0,-1031798.0,,,,
BRAM.JK,2019-12-31,0.0,-4280348.0,-7467217.0,-25145564.0,13502969.0,8477402.0,39406.0,37863908.0,13353689.0,168165.0,-15723992.0,-1954355.0,11007250.0,-4120670.0,,,,
BRAM.JK,2018-12-31,0.0,-5543594.0,-11254544.0,-33500575.0,16971417.0,2480289.0,-23380.0,41547838.0,14303465.0,186147.0,-18937583.0,-3308448.0,10272956.0,-7759938.0,,,,
WOOD.JK,2021-12-31,0.0,-10761283655.0,328500304925.0,154361135250.0,536608966841.0,90636998208.0,-2521760280.0,-51752783777.0,108232052005.0,-2100467276.0,-15906250000.0,-177582919675.0,-696593802623.0,-148655392436.0,,19350000000.0,,
WOOD.JK,2020-12-31,0.0,-132920028268.0,-14025667781.0,48776332219.0,313966074213.0,11376609303.0,-166832938.0,95687138290.0,92513740627.0,-6409592220.0,-15906250000.0,62802000000.0,-310792676550.0,-156836878435.0,,19350000000.0,-330400000.0,
