emiten,tanggal,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,issuanceOfStock,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,investments,changeToOperatingActivities,repurchaseOfStock
IMPC.JK,2019-12-31,0.0,-145690340108.0,-2034214340.0,-50408087927.0,,103701431423.0,-62274005241.0,-2734493659.0,136558916453.0,66032384278.0,,-77775000000.0,29401126413.0,-33174899248.0,-145890139377.0,13399500000.0,,
IMPC.JK,2018-12-31,0.0,-75527956045.0,-5822272405.0,-44504956921.0,,86440795418.0,-74475417433.0,2324925561.0,43232569972.0,61732215181.0,31816386029.0,-38668000000.0,-14684516.0,-104940440627.0,-91520729723.0,-13399500000.0,,
BJBR.JK,2021-12-31,0.0,-412784000000.0,984701000000.0,14965478000000.0,,2031858000000.0,11331906000000.0,58686000000.0,-3279474000000.0,337436000000.0,-255892000000.0,-941965000000.0,14922742000000.0,344212000000.0,-156892000000.0,,-5973702000000.0,
BJBR.JK,2020-12-31,0.0,-397466000000.0,3135885000000.0,19730996000000.0,,1687218000000.0,472577000000.0,54658000000.0,-18915611000000.0,289709000000.0,7137000000.0,-925044000000.0,17520155000000.0,39201000000.0,-404603000000.0,,-20683786000000.0,
BJBR.JK,2019-12-31,0.0,-147622000000.0,2330867000000.0,1240898000000.0,,1558651000000.0,-5286006000000.0,2841000000.0,-6382123000000.0,173961000000.0,11789000000.0,-879586000000.0,-210383000000.0,2892000000.0,-159446000000.0,,-8101624000000.0,
BJBR.JK,2018-12-31,0.0,-220340000000.0,3466568000000.0,854579000000.0,270742000000.0,1548249000000.0,-3425971000000.0,3803000000.0,-4064013000000.0,99037000000.0,10564000000.0,-875575000000.0,-2007156000000.0,100780000000.0,-220779000000.0,-10140000000.0,-5832083000000.0,
BRMS.JK,2021-12-31,0.0,-232438088.0,16076012.0,287405614.0,272402782.0,69121803.0,58199473.0,-66306.0,3298253.0,865535.0,5000000.0,,-1073180.0,-66689085.0,-237485494.0,,,
BRMS.JK,2020-12-31,0.0,-2255992.0,16076012.0,287405614.0,272402782.0,3953683.0,1418745.0,-29203.0,3703940.0,823415.0,5000000.0,,-1073180.0,-1073158.0,-2255992.0,,,
BRMS.JK,2019-12-31,0.0,-10093085.0,-148507.0,-148507.0,272402782.0,1284731.0,-7453550.0,20392.0,2767650.0,757895.0,4384518.0,,-1073180.0,725024.0,-14477603.0,,,
BRMS.JK,2018-12-31,0.0,129965197.0,-107098929.0,-107098929.0,272402782.0,-103503862.0,2958503.0,-50496.0,-19857269.0,713311.0,-762.0,,-1073180.0,82933282.0,-5254284.0,135220243.0,,
SMRA.JK,2021-12-31,0.0,-495679553000.0,-2420680053000.0,-830145003000.0,1498886409000.0,323708801000.0,1117456091000.0,,2443280647000.0,264232911000.0,22452053000.0,-2834000.0,91651475000.0,1855338935000.0,-35089520000.0,1248000000.0,,
SMRA.JK,2020-12-31,0.0,-479434090000.0,373997123000.0,494423966000.0,1498886409000.0,179835308000.0,-7941858000.0,,-22931734000.0,275916975000.0,-22281348000.0,-1703000.0,120428546000.0,-478684017000.0,-50536660000.0,1248000000.0,,
SMRA.JK,2019-12-31,0.0,-581171971000.0,465057358000.0,217004065000.0,1498886409000.0,514984429000.0,140575872000.0,,504743778000.0,278228937000.0,-40935470000.0,-72015636000.0,-176037657000.0,-288469588000.0,-228443838000.0,1248000000.0,,
SMRA.JK,2018-12-31,0.0,-340767457000.0,515836502000.0,519598429000.0,1498886409000.0,448709527000.0,50095950000.0,,-128735022000.0,302210881000.0,-35928957000.0,-72010084000.0,75772011000.0,-879655430000.0,-200827489000.0,1248000000.0,,
MAPI.JK,2021-12-31,0.0,-361931000000.0,-2498676000000.0,-2680431000000.0,,438913000000.0,-9687000000.0,-2244000000.0,3034919000000.0,2216212000000.0,32370000000.0,,-181755000000.0,379794000000.0,-388225000000.0,,,
MAPI.JK,2020-12-31,0.0,-245050000000.0,92297000000.0,-110743000000.0,,-553716000000.0,971441000000.0,-19477000000.0,1346711000000.0,2322932000000.0,58689000000.0,,-203040000000.0,-422505000000.0,-359494000000.0,114460000000.0,,
MAPI.JK,2019-12-31,0.0,-799003000000.0,-1083686000000.0,-1354813000000.0,2584000000.0,933493000000.0,404521000000.0,7870000000.0,2550467000000.0,857600000000.0,13815000000.0,-165396000000.0,-108315000000.0,759374000000.0,-969988000000.0,-166674000000.0,,
MAPI.JK,2018-12-31,0.0,-1051223000000.0,-1241968000000.0,-396702000000.0,2584000000.0,735829000000.0,125767000000.0,-9989000000.0,1583681000000.0,790143000000.0,-25526000000.0,-66148000000.0,911414000000.0,57709000000.0,-1072679000000.0,-420596000000.0,,
APIC.JK,2021-12-31,0.0,-800312773533.0,-285271942854.0,-285271942854.0,,98822851840.0,429017318098.0,,1514602034485.0,11310031732.0,-324000000000.0,,,1404469150913.0,-1230089600.0,-632483888995.0,,
APIC.JK,2020-12-31,0.0,-910233726027.0,475658364028.0,475658364028.0,,101781652584.0,62154366003.0,,496729728002.0,7928285468.0,-320008574102.0,,,387019789950.0,-727944587.0,-589497207338.0,,
APIC.JK,2019-12-31,0.0,-589286548403.0,82235425844.0,82273600354.0,38174510.0,99638316685.0,115730802713.0,,622743750762.0,4136989344.0,63525655948.0,,,518968444733.0,-1332758275.0,-651479446076.0,,
APIC.JK,2018-12-31,0.0,-124580446945.0,247742976269.0,247779268789.0,36292520.0,67513818889.0,1500609602.0,,-121698212241.0,3811678313.0,11191433724.0,,,-193023709443.0,-9609536961.0,-119659814483.0,,
LIFE.JK,2021-12-31,0.0,,,,,0.0,,,,36486000000.0,,,,789518000000.0,,,,
LIFE.JK,2020-12-31,0.0,1145245000000.0,-26922000000.0,-182322000000.0,,330939000000.0,143561000000.0,986000000.0,-820348000000.0,40865000000.0,229603000000.0,-155400000000.0,,-1192152000000.0,-5641000000.0,918868000000.0,,
LIFE.JK,2019-12-31,0.0,686521000000.0,-26922000000.0,-380000000000.0,,286684000000.0,-62713000000.0,-3559000000.0,-365675000000.0,31414000000.0,822767000000.0,-380000000000.0,,-683773000000.0,-7733000000.0,-136352000000.0,,
LIFE.JK,2018-12-31,0.0,893226000000.0,-26922000000.0,-1100000000000.0,,342536000000.0,-236421000000.0,5184000000.0,-34831000000.0,21256000000.0,564902000000.0,-1100000000000.0,,-398623000000.0,-9526000000.0,-177267000000.0,,
SMAR.JK,2021-12-31,0.0,-1360899000000.0,1576136000000.0,585553000000.0,,2826808000000.0,-106349000000.0,18497000000.0,650500000000.0,1087213000000.0,,-990583000000.0,,-3263521000000.0,-842371000000.0,-494814000000.0,,
SMAR.JK,2020-12-31,0.0,-3126875000000.0,4349063000000.0,4349064000000.0,,1538742000000.0,1854284000000.0,8615000000.0,623480000000.0,1064120000000.0,,-990583000000.0,1000000.0,-1979382000000.0,-1106430000000.0,-1895106000000.0,,
SMAR.JK,2019-12-31,0.0,-1520457000000.0,-94281000000.0,-2247827000000.0,,898632000000.0,320644000000.0,-16939000000.0,4105867000000.0,894994000000.0,,-2153546000000.0,1000000.0,2312241000000.0,-1303458000000.0,-1050000000.0,,
SMAR.JK,2018-12-31,0.0,-1219534000000.0,549153000000.0,463011000000.0,,597324000000.0,32729000000.0,16401000000.0,772851000000.0,885734000000.0,,-86142000000.0,1000000.0,-710207000000.0,-919578000000.0,4200000000.0,,
MEDC.JK,2021-12-31,0.0,82833896.0,144421056.0,-377931891.0,,47019404.0,183490753.0,-807936.0,479396684.0,304609719.0,89555590.0,,-515693370.0,127767561.0,-111141162.0,-6510203.0,,-6659577.0
MEDC.JK,2020-12-31,0.0,-292693627.0,-156156107.0,-340751858.0,123173746.0,-192825309.0,-159465542.0,-489053.0,474468996.0,332592651.0,-99368072.0,,-307769497.0,334701654.0,-191034370.0,-11844858.0,,-6659577.0
MEDC.JK,2019-12-31,0.0,-252146947.0,18776814.0,-120177301.0,4021291.0,-38765488.0,38163783.0,2208481.0,408279550.0,295818747.0,121924025.0,,-138226298.0,151226291.0,-196580406.0,194409.0,,-4749108.0
MEDC.JK,2018-12-31,0.0,-401048088.0,256825223.0,-53262702.0,4361209.0,-51302236.0,-70988067.0,-2740204.0,386062927.0,110446529.0,-173147431.0,,-314449134.0,326918634.0,-245533012.0,194409.0,,-4749108.0
ASSA.JK,2021-12-31,0.0,-320107067842.0,692191139458.0,465891748708.0,,142627862504.0,255089574148.0,1191698341.0,108113194941.0,691425898018.0,,,-226299390750.0,-741154108225.0,-93204080690.0,440519687.0,,
ASSA.JK,2020-12-31,0.0,-140937712015.0,26621427117.0,-236170466789.0,,87147720192.0,-62739236454.0,716855478.0,313652086872.0,595221035551.0,,-12632500000.0,-250159393906.0,-382204310848.0,-133751054414.0,440519687.0,,
