maxAge,endDate,cash,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,longTermInvestments,propertyPlantEquipment,goodWill,otherAssets,deferredLongTermAssetCharges,totalAssets,accountsPayable,shortLongTermDebt,otherCurrentLiab,longTermDebt,otherLiab,minorityInterest,totalCurrentLiabilities,totalLiab,commonStock,retainedEarnings,treasuryStock,capitalSurplus,otherStockholderEquity,totalStockholderEquity,netTangibleAssets,type,kode,intangibleAssets,shortTermInvestments,deferredLongTermLiab
1.0,2020-12-31,1795969.0,85155778.0,60324741.0,7913384.0,155499262.0,9416371.0,282183278.0,,19026572.0,4211432.0,466125483.0,52714854.0,,9265087.0,113500000.0,17479335.0,3810.0,102706987.0,234863648.0,137342902.0,-46121391.0,-919409.0,140955923.0,-919409.0,231258025.0,231258025.0,A,MASA.JK,,,
1.0,2019-12-31,4422275.0,61598644.0,61802577.0,901490.0,128724986.0,9954020.0,309267511.0,,3156867.0,,451103384.0,41269914.0,,12924891.0,165855403.0,17626645.0,720.0,72217808.0,255715066.0,137342902.0,-81151342.0,-920013.0,140116051.0,-920013.0,195387598.0,195387598.0,A,MASA.JK,424747.0,,
1.0,2018-12-31,7899674.0,58042281.0,60873776.0,77711128.0,204526859.0,,334976716.0,,16810711.0,,557051444.0,93238038.0,47580750.0,27154221.0,93204395.0,16277583.0,10333086.0,232334385.0,342656446.0,137342902.0,-68985214.0,-4411827.0,140116051.0,-4411827.0,204061912.0,203324754.0,A,MASA.JK,737158.0,,1276477.0
1.0,2022-06-30,3761972.0,122697902.0,131464379.0,16945194.0,276499586.0,9112811.0,254459715.0,,15224029.0,752380.0,555296141.0,63410234.0,,25602424.0,,20137155.0,9140.0,202364927.0,222901812.0,137342902.0,65105459.0,-1556995.0,131493823.0,-1556995.0,332385189.0,332385189.0,Q,MASA.JK,,,
1.0,2022-03-31,7375538.0,153348495.0,108914329.0,16356422.0,286300278.0,9118415.0,260574400.0,,18887830.0,795742.0,574880923.0,65904252.0,,33369211.0,60000000.0,19461979.0,11886.0,187880687.0,267756053.0,137342902.0,39295549.0,-1019290.0,131493823.0,-1019290.0,307112984.0,307112984.0,Q,MASA.JK,,,
1.0,2021-12-31,7491957.0,122912868.0,103112859.0,7149241.0,240829309.0,9129419.0,266432589.0,,19979631.0,800314.0,536370948.0,63486827.0,,30013402.0,86500000.0,22665586.0,5332.0,148654200.0,258235548.0,137342902.0,10225098.0,-931755.0,131493823.0,-931755.0,278130068.0,278130068.0,Q,MASA.JK,,,
1.0,2021-09-30,2199899.0,100791003.0,95081495.0,7817633.0,205890030.0,9180042.0,261998593.0,,10530081.0,,487598746.0,44216783.0,,14097317.0,45200000.0,21180655.0,602.0,145866681.0,212247336.0,137342902.0,-1141572.0,-966573.0,140116051.0,-966573.0,275350808.0,275350808.0,Q,MASA.JK,,,
1.0,2021-12-31,3622525285701.0,,,2014654879127.0,7934962238377.0,7374490713207.0,90488709486.0,,7803181820280.0,,23203123481350.0,20176471983444.0,,102737715710.0,,106549957166.0,,20383880345193.0,20502065652524.0,1241176500000.0,889423801583.0,133926130113.0,436531397130.0,133926130113.0,2701057828826.0,2701057828826.0,A,MASB.JK,,2285989958309.0,
1.0,2020-12-31,2440962381824.0,,,818491045346.0,9818023028475.0,4170672344126.0,93983679437.0,,7455256956071.0,,21537936008109.0,19333045580628.0,,102836841443.0,,106522067741.0,,19530411163831.0,19648095743949.0,1055000000000.0,676294629425.0,158545634735.0,,158545634735.0,1889840264160.0,1889840264160.0,A,MASB.JK,,6538040584335.0,
1.0,2022-06-30,1735622874950.0,,,2088764695612.0,3882364379295.0,7984731184350.0,89889316222.0,,8410765209509.0,26841962772.0,20367750089376.0,17386269883883.0,,149531071632.0,,100038327652.0,,17640196332196.0,17745645113780.0,1241183600000.0,1029051221606.0,-88884593140.0,440754747130.0,-88884593140.0,2622104975596.0,2622104975596.0,Q,MASB.JK,,,
1.0,2022-03-31,2749100118167.0,,,2119836062440.0,6292404812423.0,7912137509100.0,77585985442.0,,8069876030567.0,,22352004337532.0,19329245784317.0,,144003790846.0,,137129642169.0,,19562510352467.0,19699639994636.0,1241176500000.0,949641034428.0,24992661338.0,436554147130.0,24992661338.0,2652364342896.0,2652364342896.0,Q,MASB.JK,,1423468631816.0,
