emiten,tanggal,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,netReceivables,inventory,accountsPayable,shortLongTermDebt,longTermDebt,goodWill,longTermInvestments,deferredLongTermLiab,shortTermInvestments,intangibleAssets
MCOR.JK,2020-12-31,1267378000000.0,19218857000000.0,6016716000000.0,,51984000000.0,25235573000000.0,3791973000000.0,858525000000.0,669045000000.0,189281000000.0,288320000000.0,14661485000000.0,2399982000000.0,18603990000000.0,10738000000.0,288320000000.0,832249000000.0,8341199000000.0,5790613000000.0,,165648000000.0,18511777000000.0,,421500000000.0,190075000000.0,1174537000000.0,,4900299000000.0,36028000000.0
MCOR.JK,2019-12-31,238348000000.0,16098826000000.0,2794858000000.0,,67887000000.0,18893684000000.0,1663146000000.0,1183174000000.0,640606000000.0,165392000000.0,252758000000.0,13801932000000.0,826789000000.0,15516959000000.0,,252758000000.0,828752000000.0,2331442000000.0,2563212000000.0,,171525000000.0,12905285000000.0,,416475000000.0,190075000000.0,1699912000000.0,,99657000000.0,41571000000.0
MCOR.JK,2018-12-31,238348000000.0,13476317000000.0,2516158000000.0,,110985000000.0,15992475000000.0,1663146000000.0,1010831000000.0,561639000000.0,140887000000.0,53025000000.0,11526845000000.0,876672000000.0,13335430000000.0,9707000000.0,53025000000.0,683878000000.0,2100367000000.0,2278970000000.0,,189821000000.0,13168216000000.0,,,190075000000.0,1444197000000.0,,,47113000000.0
DNAR.JK,2021-12-31,1429008469465.0,4681638119882.0,3039706086499.0,,73270644741.0,7721344206381.0,1409998511100.0,198054805111.0,171005794394.0,36340180510.0,29693311540.0,5489443789034.0,708422152702.0,4645297939372.0,,84894751236.0,135542425578.0,1578786626829.0,2999046277865.0,2626557636.0,91963922843.0,4539652599394.0,,,,476911556306.0,,577313174537.0,40659808634.0
DNAR.JK,2020-12-31,1183980592336.0,3753255346328.0,2521927019838.0,,47221325324.0,6275182366166.0,1156278801600.0,164746304449.0,150778291699.0,36769637087.0,30889334203.0,4258392877678.0,495355580635.0,3716485709241.0,,86090773899.0,143881582298.0,1545240260528.0,2461943778925.0,1307297245.0,100655534851.0,3638318599087.0,,,,267684404749.0,,768219185871.0,59983240913.0
DNAR.JK,2019-12-31,1208657809142.0,3087019609149.0,2021828417541.0,,8451938973.0,5108848026690.0,634155414600.0,168560844917.0,150114584804.0,25397665352.0,28900608995.0,3261920046313.0,354504960479.0,3061621943797.0,3133502046.0,84102048691.0,128194166111.0,1510996436671.0,1947447002207.0,5034773791.0,123731014428.0,3037081637971.0,,,,133355962261.0,,838083346052.0,74381415334.0
DNAR.JK,2018-12-31,472000000.0,2944980378070.0,1590889684719.0,,11098530988.0,4535870062789.0,225000000000.0,153204893500.0,165894283364.0,31246851680.0,1199523401355.0,2919238448884.0,642261338564.0,2913733526390.0,7362548672.0,1199523401355.0,117128538643.0,1156407533748.0,1521147095410.0,2984391150.0,129697132543.0,2686595465107.0,,,,273352952205.0,,215821575172.0,69742589309.0
TBLA.JK,2021-12-31,487030000000.0,14591663000000.0,6484328000000.0,8026000000.0,684222000000.0,21084017000000.0,667762000000.0,1182646000000.0,5045579000000.0,851930000000.0,283957000000.0,102962000000.0,690152000000.0,6208185000000.0,2589000000.0,292114000000.0,11677854000000.0,9303201000000.0,6484328000000.0,3468332000000.0,3950026000000.0,3174341000000.0,665607000000.0,7494107000000.0,,,,,
TBLA.JK,2020-12-31,487030000000.0,13542437000000.0,5878047000000.0,10809000000.0,786116000000.0,19431293000000.0,667762000000.0,920743000000.0,4364689000000.0,1120440000000.0,358566000000.0,208597000000.0,479577000000.0,5385025000000.0,1063000000.0,366723000000.0,11195517000000.0,8027179000000.0,5878047000000.0,3023575000000.0,3590515000000.0,1765286000000.0,773562000000.0,7032123000000.0,,,,,
TBLA.JK,2019-12-31,514679000000.0,12000079000000.0,5353316000000.0,9608000000.0,766416000000.0,17363003000000.0,667762000000.0,925316000000.0,3795560000000.0,1455877000000.0,375315000000.0,303538000000.0,400674000000.0,4027369000000.0,1117000000.0,375315000000.0,10507705000000.0,6551760000000.0,5353316000000.0,1857204000000.0,3350623000000.0,1541000000000.0,1072582000000.0,6503661000000.0,,,,,
TBLA.JK,2018-12-31,514679000000.0,11556300000000.0,4763672000000.0,19944000000.0,577645000000.0,16339916000000.0,667762000000.0,626865000000.0,3200596000000.0,1688841000000.0,380635000000.0,301651000000.0,224334000000.0,3300644000000.0,3041000000.0,380635000000.0,9834930000000.0,6203335000000.0,4763672000000.0,2035993000000.0,3293264000000.0,1635206000000.0,490106000000.0,6560450000000.0,,,,,
BMTR.JK,2021-12-31,1801390000000.0,10230049000000.0,14027061000000.0,10538666000000.0,544814000000.0,34795776000000.0,1658400000000.0,373721000000.0,11055535000000.0,417205000000.0,-488264000000.0,2859530000000.0,1365040000000.0,7524494000000.0,634098000000.0,-140369000000.0,14198055000000.0,10580245000000.0,8611040000000.0,3964419000000.0,4343293000000.0,856291000000.0,5074099000000.0,2261892000000.0,3803237000000.0,1741925000000.0,,,1612784000000.0
BMTR.JK,2020-12-31,1801390000000.0,11477239000000.0,12235672000000.0,8548649000000.0,624447000000.0,32261560000000.0,1658400000000.0,543372000000.0,9679598000000.0,473866000000.0,-903716000000.0,1878711000000.0,904936000000.0,5275862000000.0,648079000000.0,-555821000000.0,14208595000000.0,9859197000000.0,7232226000000.0,3667572000000.0,4162373000000.0,819367000000.0,2509040000000.0,5699311000000.0,3802818000000.0,1311611000000.0,,,1200628000000.0
BMTR.JK,2019-12-31,1631383000000.0,12783387000000.0,11068151000000.0,6303255000000.0,686133000000.0,30154793000000.0,1533451000000.0,483092000000.0,8756473000000.0,472661000000.0,-853156000000.0,1605809000000.0,825755000000.0,6436195000000.0,535006000000.0,-367800000000.0,13556208000000.0,8822135000000.0,6671880000000.0,3370110000000.0,3566624000000.0,1221962000000.0,2708541000000.0,5848594000000.0,3795284000000.0,1774370000000.0,474468000000.0,,600987000000.0
BMTR.JK,2018-12-31,1331917000000.0,14665700000000.0,9497785000000.0,4804677000000.0,737971000000.0,28968162000000.0,1419862000000.0,539016000000.0,7355631000000.0,412776000000.0,-609625000000.0,1937082000000.0,1023031000000.0,6955570000000.0,420164000000.0,-124269000000.0,12733856000000.0,9380777000000.0,5892497000000.0,3207560000000.0,3509500000000.0,1063746000000.0,3103552000000.0,7198612000000.0,3470423000000.0,1311159000000.0,566612000000.0,,134865000000.0
UFOE.JK,2021-12-31,24441937500.0,244059288891.0,179217588548.0,397945928.0,4320626977.0,423674823367.0,91500000000.0,7121848356.0,35839315835.0,6787238727.0,27436335213.0,32242049742.0,6826052023.0,214309760854.0,2149249742.0,27436335213.0,194432286375.0,184990461303.0,179217588548.0,20241646937.0,150614570738.0,92057105538.0,5142289084.0,22962289310.0,,12010025947.0,,,
UFOE.JK,2020-12-31,,192916565286.0,125549008969.0,125027052.0,2429014963.0,318590601307.0,73200000000.0,8439241421.0,25370401482.0,6239885827.0,26978607487.0,2114869744.0,6579681086.0,172759950273.0,2022069744.0,26978607487.0,149967708068.0,160702460374.0,125549008969.0,18083326137.0,127389248057.0,87210576953.0,5049907670.0,13877487437.0,,5805563121.0,,,
UFOE.JK,2019-12-31,,179315096712.0,116747396201.0,77551777.0,258450549.0,296140044690.0,73200000000.0,72160564386.0,15981199656.0,4562570168.0,27566196545.0,1753817027.0,8638798979.0,163692728971.0,1525517027.0,27566196545.0,67494035604.0,223667976594.0,116747396201.0,23368353263.0,119231480115.0,94084674878.0,718224515.0,10883333333.0,,3224215465.0,,,
UFOE.JK,2018-12-31,,173040701297.0,41684493413.0,,358048992.0,214725194710.0,2500000000.0,3786434578.0,12257990895.0,3940749492.0,26926502518.0,1111887408.0,8648530217.0,160785287454.0,985187373.0,26926502518.0,60561466986.0,150616694671.0,41684493413.0,21008029432.0,116998767511.0,68117532407.0,5040172279.0,8234644698.0,,2435145645.0,,,
