emiten,tanggal,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,longTermDebt,inventory,accountsPayable,shortLongTermDebt,intangibleAssets,minorityInterest,netReceivables,goodWill,deferredLongTermLiab
TSPC.JK,2019-12-31,335551217059.0,2581733610850.0,5486514279754.0,206214110766.0,8372769580743.0,225000000000.0,412547368301.0,4885485996024.0,421805187665.0,40477066671.0,525539098816.0,2254216067576.0,1953608306055.0,58616884812.0,40477066671.0,2370214050251.0,5432638388008.0,44378043668.0,5486514279754.0,85598940000.0,166000000000.0,1416073420751.0,1226271055371.0,,,304521690139.0,1259293419712.0,,
TSPC.JK,2018-12-31,335862416630.0,2437126989832.0,5136898852561.0,134531829177.0,7869975060326.0,225000000000.0,413968254870.0,4538947781383.0,360960899608.0,37088654548.0,440011409809.0,1903177852578.0,2039075034339.0,58541164996.0,37088654548.0,2271379683420.0,5130662268849.0,27921698248.0,5136898852561.0,24987220000.0,,1507993377295.0,1279875545595.0,,,295949217933.0,1276078662936.0,,
PTPP.JK,2021-12-31,4710054735222.0,41243694054027.0,10853255496100.0,2351095296254.0,55573843735084.0,619989735400.0,2653345614475.0,3390262150289.0,2489080096476.0,2132948875189.0,8718901906397.0,6603375865710.0,30145580969254.0,,2141048646208.0,6877769825314.0,33731768331331.0,2585468205854.0,7193320029912.0,,8391096858702.0,10914691000386.0,16067182382631.0,4419319892136.0,3382899231311.0,3476894184957.0,12896021153538.0,277036234877.0,
PTPP.JK,2020-12-31,4710054735222.0,39502879486412.0,10553711467447.0,2513269623412.0,53408823346707.0,619989735400.0,3429067088193.0,3124285427727.0,2196633602664.0,2099381569098.0,10002313369554.0,7375548063595.0,27042681837712.0,,2107481340117.0,7192963239457.0,30952165781962.0,3210426207343.0,8502756719056.0,,10166683780902.0,7963686693082.0,15503474562703.0,3257712718557.0,1773918513514.0,3352232392848.0,11388350644304.0,277036234877.0,
PTPP.JK,2019-12-31,4710054735222.0,41118567863618.0,11738512537993.0,4551415556133.0,56130526187076.0,619989735400.0,3992907142891.0,4208114691591.0,1223078671696.0,2200353375780.0,5269653094013.0,9089668809911.0,29768643810275.0,,2200353375780.0,8403639675886.0,38948536283067.0,2881575470487.0,11111390874370.0,,9946350849441.0,9236983496358.0,18083149428718.0,2431904445953.0,326485198421.0,3273445785465.0,16499259196958.0,300636465202.0,
PTPP.JK,2018-12-31,4710054735222.0,36233538927553.0,12765753024575.0,2229434400264.0,52549150902972.0,619989735400.0,1920212399592.0,5274318157692.0,1306720525156.0,2161390396261.0,4466285667258.0,8647426549628.0,26585529876819.0,124704499.0,2161390396261.0,7687529123159.0,37534483162953.0,2492889355292.0,12397789430265.0,,8027886604535.0,4659429626289.0,19571489359374.0,1230338750713.0,76096359433.0,3549858950844.0,22169890518188.0,291867234877.0,
MIDI.JK,2021-12-31,73881000000.0,4727699000000.0,1615794000000.0,692075000000.0,6344016000000.0,288235000000.0,41679000000.0,1198426000000.0,162461000000.0,55252000000.0,240917000000.0,243492000000.0,3691937000000.0,86676000000.0,55252000000.0,3567241000000.0,2535858000000.0,,1615794000000.0,,606625000000.0,1811446000000.0,1534233000000.0,464834000000.0,,523000000.0,439241000000.0,,98629000000.0
MIDI.JK,2020-12-31,73881000000.0,4524990000000.0,1398186000000.0,520941000000.0,5923693000000.0,288235000000.0,48518000000.0,983306000000.0,160838000000.0,52764000000.0,204166000000.0,238324000000.0,3395618000000.0,63795000000.0,52764000000.0,3514008000000.0,2205519000000.0,,1398186000000.0,,724494000000.0,1496826000000.0,1373932000000.0,516449000000.0,,517000000.0,421851000000.0,,85084000000.0
MIDI.JK,2019-12-31,73881000000.0,3769310000000.0,1220490000000.0,279863000000.0,4990309000000.0,288235000000.0,58956000000.0,844140000000.0,163678000000.0,14234000000.0,1176773000000.0,241125000000.0,2898464000000.0,67652000000.0,14234000000.0,1558154000000.0,2255382000000.0,,1220490000000.0,,707168000000.0,1315746000000.0,1343560000000.0,642106000000.0,,509000000.0,360738000000.0,,61016000000.0
MIDI.JK,2018-12-31,73881000000.0,3879324000000.0,1080318000000.0,283804000000.0,4960145000000.0,288235000000.0,36412000000.0,688926000000.0,118455000000.0,29276000000.0,1187457000000.0,196898000000.0,2959873000000.0,48828000000.0,29276000000.0,1598162000000.0,2174526000000.0,,1080318000000.0,,800743000000.0,1189510000000.0,1121825000000.0,674088000000.0,,503000000.0,494467000000.0,,70334000000.0
