emiten,tanggal,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,netIncome,changeInCash,totalCashFromOperatingActivities,depreciation,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,dividendsPaid,effectOfExchangeRate,otherCashflowsFromInvestingActivities,repurchaseOfStock
PTPP.JK,2020-12-31,-428267535216.0,0.0,-3383524906914.0,2286506635193.0,2067003665255.0,,,164053051741.0,-1577058483047.0,-268989679129.0,536797080242.0,12263437012.0,-969839811112.0,-461716387607.0,-209323431249.0,8452437741.0,60194686674.0,-22442975701.0
PTPP.JK,2019-12-31,-745937810748.0,0.0,-3025576173698.0,3491001815606.0,3174378126717.0,,,819463019436.0,442242260283.0,306284732747.0,600559345272.0,-16226268039.0,-1113737631961.0,-1027251856686.0,-300397420850.0,-12844425483.0,170463362718.0,-22442975701.0
PTPP.JK,2018-12-31,-1108256402754.0,0.0,-3705687063463.0,2494125475173.0,2209239320761.0,,,1501973077232.0,-736067389310.0,716128002645.0,523507773956.0,5743395902.0,-1309352848543.0,-918212645895.0,-290629550314.0,44252350747.0,251481727867.0,-22442975701.0
MIDI.JK,2021-12-31,,0.0,-657730000000.0,-288934000000.0,-479073000000.0,,,275217000000.0,5168000000.0,1141971000000.0,722511000000.0,-130042000000.0,111134000000.0,-422762000000.0,-60097000000.0,,-239809000000.0,
MIDI.JK,2020-12-31,,0.0,-971921000000.0,68710000000.0,-163388000000.0,,,200272000000.0,-2801000000.0,1132508000000.0,657979000000.0,-170992000000.0,246624000000.0,-572935000000.0,-61106000000.0,,-400895000000.0,
MIDI.JK,2019-12-31,,0.0,-598035000000.0,-378970000000.0,-614172000000.0,,,203061000000.0,44227000000.0,1256434000000.0,297140000000.0,-187355000000.0,444900000000.0,-287471000000.0,-47847000000.0,,-314551000000.0,
MIDI.JK,2018-12-31,,0.0,-456756000000.0,-207389000000.0,-444862000000.0,,,159151000000.0,-32211000000.0,869407000000.0,284548000000.0,-206632000000.0,140721000000.0,-197070000000.0,-30841000000.0,,-262243000000.0,
TGKA.JK,2021-12-31,-420888900000.0,0.0,-434571214144.0,-26792210465.0,-362419934602.0,,,481097539768.0,-725857379197.0,71133769549.0,53722277390.0,-4970334137.0,-464713171067.0,-14843726796.0,-330657390000.0,,1694443706.0,
TGKA.JK,2020-12-31,-65000000000.0,0.0,-42511580223.0,-56084996845.0,-322875495162.0,,,478557787065.0,436364600180.0,801751675565.0,50298205365.0,-5020064567.0,271930620918.0,-11721791483.0,-261770433750.0,,35042711133.0,
TGKA.JK,2019-12-31,-65000000000.0,0.0,-59672209230.0,-412786948052.0,-646939223967.0,,,428415981870.0,365247731715.0,1071859164912.0,24120109851.0,-14632508665.0,617121565355.0,-10963806628.0,-219519767250.0,,19645189906.0,
TGKA.JK,2018-12-31,-65000000000.0,0.0,-6880460638.0,347000000000.0,159782680650.0,,,309752974094.0,190789988292.0,37887768280.0,29914736562.0,-40258479350.0,-302291205814.0,-15004617447.0,-146958840000.0,,10544952263.0,
SAME.JK,2021-12-31,10067123288.0,0.0,-2194102893847.0,-1192681460754.0,2515071957456.0,,3692924506270.0,138553853328.0,574709321183.0,253740257574.0,149777542047.0,14828911940.0,-34591137801.0,-139041053605.0,,,,
SAME.JK,2020-12-31,10067123288.0,0.0,-86899831050.0,-8559130574.0,83051155603.0,,3692924506270.0,-187642992028.0,-25515960467.0,-21667285017.0,92979532907.0,91610286177.0,72996174104.0,-87784758323.0,,,,
SAME.JK,2019-12-31,10067123288.0,0.0,-301322687109.0,23480122849.0,32763796905.0,,3692924506270.0,-114384783432.0,-80158360393.0,188400529811.0,80215637691.0,9283674056.0,222569675552.0,-369363959838.0,,,68000000000.0,
SAME.JK,2018-12-31,10067123288.0,0.0,-489662026166.0,508452012572.0,496868582547.0,,3692924506270.0,58883002032.0,38519173763.0,31312617382.0,96451269751.0,-1553430025.0,-124021654401.0,-489662026166.0,-10030000000.0,,68000000000.0,
DUTI.JK,2021-12-31,-112474499524.0,0.0,-62184759623.0,157732851110.0,22782253242.0,,,659891191326.0,931102178992.0,970669842620.0,147588888565.0,-134950597868.0,163189762729.0,-2977057231.0,,-165157247.0,115874632820.0,
