emiten,tanggal,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,intangibleAssets,goodWill,deferredLongTermAssetCharges,longTermInvestments,shortTermInvestments,deferredLongTermLiab
MYOR.JK,2018-12-31,330005500.0,9049161944940.0,8342647699220.0,199896782474.0,135084410754.0,17591706426634.0,447173994500.0,690317249962.0,7900855271848.0,907421457319.0,-5711572628.0,685547173642.0,2495655019108.0,4764510387113.0,1130097873612.0,-5711572628.0,4258300525120.0,12647858727872.0,8342647699220.0,6075135704034.0,3377230100508.0,3351796321991.0,1551171543758.0,,,89449452581.0,,,
AMRT.JK,2021-12-31,2479828000000.0,18503950000000.0,8790746000000.0,199052000000.0,3561402000000.0,27493748000000.0,415245000000.0,160267000000.0,5999898000000.0,1140630000000.0,-104225000000.0,875196000000.0,3269642000000.0,16376061000000.0,465032000000.0,-104225000000.0,12054194000000.0,14211903000000.0,8790746000000.0,2026660000000.0,606661000000.0,8755334000000.0,9753901000000.0,,,263463000000.0,352455000000.0,,435456000000.0
AMRT.JK,2020-12-31,2479828000000.0,18334415000000.0,7422104000000.0,214224000000.0,2871081000000.0,25970743000000.0,415245000000.0,143505000000.0,4435085000000.0,1230345000000.0,91946000000.0,707252000000.0,3877560000000.0,15326139000000.0,1516275000000.0,91946000000.0,11384086000000.0,13558536000000.0,7422104000000.0,1897302000000.0,1447108000000.0,7640169000000.0,8860594000000.0,,,161075000000.0,320869000000.0,,415065000000.0
AMRT.JK,2019-12-31,2479828000000.0,17108006000000.0,6696944000000.0,187363000000.0,2002465000000.0,23992313000000.0,415245000000.0,209789000000.0,4179600000000.0,1586719000000.0,-377729000000.0,3573590000000.0,3898050000000.0,13167601000000.0,2041527000000.0,-377729000000.0,5453229000000.0,14782817000000.0,6696944000000.0,1737248000000.0,2352914000000.0,7577090000000.0,7891770000000.0,,,243020000000.0,182677000000.0,11100000000.0,359557000000.0
AMRT.JK,2018-12-31,2479828000000.0,16148410000000.0,5856468000000.0,161090000000.0,1499464000000.0,22165968000000.0,415245000000.0,142085000000.0,3176712000000.0,1246164000000.0,-215317000000.0,3712220000000.0,2070429000000.0,11126956000000.0,674815000000.0,-215317000000.0,5497240000000.0,12791052000000.0,5856468000000.0,2110554000000.0,3774721000000.0,7221444000000.0,7590081000000.0,,,119614000000.0,165456000000.0,,377923000000.0
INKP.JK,2021-12-31,5883000.0,4219735000.0,4758199000.0,511000.0,94813000.0,8978445000.0,2189016000.0,870279000.0,2553509000.0,285053000.0,9791000.0,797129000.0,1059616000.0,2265121000.0,719184000.0,9791000.0,3465640000.0,4702128000.0,4758199000.0,1410361000.0,1619659000.0,441572000.0,231801000.0,,,,13548000.0,878648000.0,
INKP.JK,2020-12-31,5883000.0,4246638000.0,4249088000.0,551000.0,58664000.0,8496277000.0,2189016000.0,863835000.0,2045307000.0,293232000.0,8882000.0,641006000.0,871435000.0,1922866000.0,588089000.0,8882000.0,3501301000.0,4341593000.0,4249088000.0,1297782000.0,1987130000.0,364896000.0,195748000.0,,,,12377000.0,840534000.0,
INKP.JK,2019-12-31,5883000.0,4496373000.0,4005114000.0,563000.0,41521000.0,8502050000.0,2189016000.0,1027445000.0,1799890000.0,296648000.0,10325000.0,621114000.0,773855000.0,1832973000.0,596457000.0,10325000.0,3654414000.0,4214777000.0,4005114000.0,1173922000.0,2335701000.0,407626000.0,177311000.0,,,,11745000.0,746998000.0,
INKP.JK,2018-12-31,5883000.0,4979481000.0,3770988000.0,544000.0,73004000.0,8751013000.0,2189016000.0,1103355000.0,1563553000.0,260505000.0,12536000.0,615658000.0,756355000.0,1741730000.0,365002000.0,12536000.0,3933605000.0,4190614000.0,3770988000.0,1096813000.0,2898928000.0,512111000.0,174127000.0,,,,11136000.0,692782000.0,
MASA.JK,2021-12-31,131493823.0,258235548.0,278130068.0,5332.0,30013402.0,536370948.0,137342902.0,7149241.0,10225098.0,22665586.0,-931755.0,19979631.0,7491957.0,148654200.0,,-931755.0,266432589.0,240829309.0,278130068.0,122912868.0,86500000.0,103112859.0,63486827.0,,,800314.0,9129419.0,,
MASA.JK,2020-12-31,140955923.0,234863648.0,231258025.0,3810.0,9265087.0,466125483.0,137342902.0,7913384.0,-46121391.0,17479335.0,-919409.0,19026572.0,1795969.0,102706987.0,,-919409.0,282183278.0,155499262.0,231258025.0,85155778.0,113500000.0,60324741.0,52714854.0,,,4211432.0,9416371.0,,
