emiten,tanggal,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,deferredLongTermLiab,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,inventory,accountsPayable,shortLongTermDebt,longTermDebt,intangibleAssets,goodWill,deferredLongTermAssetCharges
FILM.JK,2021-12-31,153685174076.0,51496252960.0,1252596633345.0,5622233819.0,,38077005330.0,1309715120124.0,951121700000.0,31055120813.0,172925114449.0,8496657114.0,-25135355180.0,273828067570.0,83004957650.0,41891954034.0,-687020280.0,851692038051.0,184001472264.0,,1252403091106.0,,68443393834.0,,3769630771.0,,1107641812.0,193542239.0,,6184420.0
FILM.JK,2020-12-31,153685174076.0,21996574067.0,1322376837679.0,9156578191.0,,11804307725.0,1353529989937.0,951121700000.0,43926194448.0,242261884103.0,2131745000.0,-24691920500.0,291973861799.0,121408368032.0,18047048526.0,-243585600.0,870542285662.0,190721688768.0,,1322084683971.0,,23823153400.0,,4666115303.0,,1817780541.0,292153708.0,,811216090.0
FILM.JK,2019-12-31,153685174076.0,26210982351.0,1403831825253.0,10993114519.0,,16866720680.0,1441035922123.0,951121700000.0,35128503922.0,299221868927.0,1918345000.0,-196917750.0,268564579789.0,178303837789.0,22346446481.0,-196917750.0,882067137217.0,285842664988.0,4288847108.0,1403559132232.0,,71370199452.0,,5403118373.0,,1946190870.0,272693021.0,,479586250.0
FILM.JK,2018-12-31,153685174076.0,36926024440.0,1342898911258.0,1001019339.0,,29105984090.0,1380825955037.0,951121700000.0,21764052557.0,238257250182.0,1399012000.0,-165213000.0,217579147841.0,251446210669.0,35527012440.0,-165213000.0,832344079684.0,330902727512.0,,1342898911258.0,,57069006849.0,,3138136122.0,,,,,349753000.0
HERO.JK,2021-12-31,2988060000000.0,5399696000000.0,873820000000.0,,,640087000000.0,6273516000000.0,209182000000.0,1415843000000.0,-2320727000000.0,88301000000.0,-2695000000.0,300035000000.0,168733000000.0,3251857000000.0,-2695000000.0,3383962000000.0,2513352000000.0,,797653000000.0,,47577000000.0,842825000000.0,393086000000.0,,,76167000000.0,,90114000000.0
HERO.JK,2020-12-31,2988060000000.0,2983729000000.0,1854688000000.0,,,327075000000.0,4838417000000.0,209182000000.0,104797000000.0,-1342554000000.0,158173000000.0,,280774000000.0,76316000000.0,2278042000000.0,,2933236000000.0,1540143000000.0,,1770424000000.0,,170257000000.0,1154667000000.0,701116000000.0,,,84264000000.0,,9102000000.0
HERO.JK,2019-12-31,2988060000000.0,2387822000000.0,3666562000000.0,,,546157000000.0,6054384000000.0,209182000000.0,150409000000.0,469320000000.0,126159000000.0,,600840000000.0,167913000000.0,2261663000000.0,,2970220000000.0,2417001000000.0,,3600239000000.0,,310014000000.0,1611364000000.0,1127465000000.0,,,57465000000.0,8858000000.0,158401000000.0
HERO.JK,2018-12-31,2988060000000.0,2330370000000.0,3824378000000.0,,,370928000000.0,6154748000000.0,209182000000.0,138409000000.0,627136000000.0,156362000000.0,,471484000000.0,499100000000.0,2174008000000.0,,2782800000000.0,2845304000000.0,,3769218000000.0,,351735000000.0,1642173000000.0,1236133000000.0,,,45291000000.0,9869000000.0,141838000000.0
ESSA.JK,2021-12-31,90902649.0,508511713.0,213463376.0,87317934.0,,1940903.0,809293023.0,15405610.0,1852188.0,88556761.0,6285091.0,18598356.0,51424046.0,80841178.0,97776656.0,18598356.0,574196909.0,158000533.0,1984416.0,189776257.0,,19895597.0,52176177.0,24225746.0,47859213.0,403993916.0,,23687119.0,51424046.0
ESSA.JK,2020-12-31,90902649.0,480273047.0,196384097.0,115396316.0,1186856.0,1544976.0,792053460.0,15405610.0,2308349.0,72100423.0,11159061.0,17975415.0,46269202.0,73777438.0,94894567.0,17975415.0,618681265.0,103415874.0,,172696978.0,,2468969.0,22675225.0,12251819.0,69405019.0,374074164.0,,23687119.0,45082346.0
ESSA.JK,2019-12-31,78886551.0,586875807.0,187451325.0,120985292.0,,475094.0,895312424.0,14440441.0,4677753.0,90220931.0,74705327.0,3903402.0,37600179.0,147288644.0,82084677.0,3903402.0,642912419.0,190464232.0,648475.0,163764206.0,,17644307.0,15138916.0,11837035.0,58560771.0,430085803.0,,23687119.0,37600179.0
ESSA.JK,2018-12-31,78886551.0,600798581.0,188348415.0,122889919.0,,2666147.0,912036915.0,14440441.0,6721027.0,84877715.0,25190929.0,10143708.0,21977226.0,105380563.0,91445289.0,10143708.0,687631038.0,170174539.0,8487423.0,164581726.0,,46470743.0,8080808.0,11282180.0,47932746.0,484162363.0,,23766689.0,21977226.0
ADMF.JK,2021-12-31,6750000000.0,14838879000000.0,8887006000000.0,,603000000.0,395800000000.0,23725885000000.0,100000000000.0,477705000000.0,8841497000000.0,1690334000000.0,-61241000000.0,342354000000.0,1637550000000.0,4589161000000.0,-61241000000.0,498993000000.0,22714589000000.0,650000000.0,8717707000000.0,,20594774000000.0,,28485000000.0,2534915000000.0,8395066000000.0,169299000000.0,,341751000000.0
ADMF.JK,2020-12-31,6750000000.0,21305238000000.0,7925275000000.0,,995000000.0,459432000000.0,29230513000000.0,100000000000.0,529156000000.0,8035404000000.0,1910804000000.0,-216879000000.0,464391000000.0,4227409000000.0,5598578000000.0,-216879000000.0,568772000000.0,28010158000000.0,650000000.0,7738733000000.0,,23251744000000.0,,22097000000.0,3153417000000.0,13612850000000.0,186542000000.0,,463396000000.0
ADMF.JK,2019-12-31,6750000000.0,27038058000000.0,8078795000000.0,,853000000.0,601437000000.0,35116853000000.0,100000000000.0,709025000000.0,8125480000000.0,1526023000000.0,-153435000000.0,476079000000.0,3122492000000.0,7534170000000.0,-153435000000.0,266149000000.0,34213479000000.0,650000000.0,7918299000000.0,,30381962000000.0,,24517000000.0,4907853000000.0,17977865000000.0,160496000000.0,,475226000000.0
ADMF.JK,2018-12-31,6750000000.0,24468242000000.0,7028199000000.0,,1245000000.0,356140000000.0,31496441000000.0,100000000000.0,714352000000.0,6982433000000.0,566593000000.0,-60984000000.0,405044000000.0,1689324000000.0,5206927000000.0,-60984000000.0,245488000000.0,30725428000000.0,650000000.0,6908368000000.0,,28068196000000.0,,23108000000.0,3273277000000.0,18694722000000.0,119831000000.0,,403799000000.0
