emiten,tanggal,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,dividendsPaid,otherCashflowsFromInvestingActivities,repurchaseOfStock,issuanceOfStock,changeToOperatingActivities
POLL.JK,2018-12-31,-749999999900.0,0.0,-1259276720603.0,465026262329.0,1531736902191.0,96221681995.0,-64622575753.0,,-337082757341.0,3368834864.0,299299125862.0,-436673274200.0,-515709301288.0,,9262580585.0,,767411514000.0,
IBST.JK,2021-12-31,,0.0,1795237213410.0,-1172944866431.0,-1380614528041.0,63351210259.0,828739431215.0,,414116745846.0,,-207669661610.0,350765535587.0,-1628215815412.0,,-413344704290.0,,,
IBST.JK,2020-12-31,,0.0,-449339125047.0,-279094748055.0,-566561034923.0,67204167744.0,-288208529809.0,,727691630161.0,385059774208.0,-287466286868.0,273907822280.0,-362917485881.0,,-85956620386.0,,,
IBST.JK,2019-12-31,,0.0,-669267767900.0,566426485230.0,317661688712.0,128831147635.0,375847130961.0,,727453210149.0,292966294151.0,-248764796518.0,304466854449.0,-640396187012.0,,-27257952303.0,,,
IBST.JK,2018-12-31,138494192665.0,0.0,-883994635448.0,524276470309.0,483050631876.0,146006831186.0,56155420865.0,,457099424437.0,264005751166.0,-41225838433.0,46303980721.0,-907250120236.0,,-112289908297.0,,,
PRDA.JK,2021-12-31,-130000000000.0,0.0,-333443000000.0,-39730000000.0,-200978000000.0,621623000000.0,242845000000.0,,777266000000.0,139446000000.0,,10299000000.0,-104107000000.0,-161248000000.0,-77627000000.0,,,
PRDA.JK,2020-12-31,150000000000.0,0.0,5662000000.0,-62026000000.0,-167157000000.0,268747000000.0,273136000000.0,,434631000000.0,133384000000.0,,26637000000.0,-133497000000.0,-105131000000.0,-1221000000.0,,,
PRDA.JK,2019-12-31,-85000000000.0,0.0,-241741000000.0,-22991000000.0,-110716000000.0,210261000000.0,-10632000000.0,,341825000000.0,74823000000.0,,50824000000.0,-79099000000.0,-87725000000.0,-74992000000.0,,,
PRDA.JK,2018-12-31,15000000000.0,0.0,-194272000000.0,-21183000000.0,-81502000000.0,175450000000.0,-35945000000.0,,239829000000.0,71328000000.0,,-12091000000.0,-182623000000.0,-60319000000.0,-17915000000.0,,,
BBMD.JK,2021-12-31,-781281988316.0,0.0,-809569677714.0,1925634805.0,1327227754639.0,519580026420.0,285442484759.0,,-232215592166.0,16694827509.0,1447035504433.0,21135640324.0,-25473163398.0,-119963022219.0,-1213861700.0,,155272425.0,-772931258910.0
