emiten,tanggal,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,netIncome,changeInCash,totalCashFromOperatingActivities,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,issuanceOfStock,investments,effectOfExchangeRate,changeToOperatingActivities,repurchaseOfStock
BANK.JK,2019-12-31,0.0,-374690000000.0,-8693000000.0,-16000000.0,77304000000.0,-260328000000.0,114053000000.0,-16000000.0,-21101000000.0,-12717000000.0,1516000000.0,,,522994000000.0,-374700000000.0,325000000.0,56365000000.0,
BANK.JK,2018-12-31,0.0,376676000000.0,-8693000000.0,-331417000000.0,-64720000000.0,93057000000.0,47786000000.0,-331417000000.0,-25152000000.0,-4499000000.0,4500000000.0,,,522994000000.0,380835000000.0,12000000.0,133908000000.0,
JSMR.JK,2021-12-31,0.0,-4362973000000.0,2390653000000.0,3447288000000.0,1615281000000.0,1681885000000.0,2766986000000.0,1056635000000.0,-909643000000.0,-110083000000.0,2020371000000.0,-1412497000000.0,,,-410730000000.0,,,
JSMR.JK,2020-12-31,0.0,-24183096000000.0,21197404000000.0,22997967000000.0,501047000000.0,255603000000.0,1440732000000.0,1910919000000.0,-769900000000.0,-31955000000.0,1652736000000.0,-2244884000000.0,-110356000000.0,,-696783000000.0,,,
JSMR.JK,2019-12-31,0.0,-15914544000000.0,10296153000000.0,10983412000000.0,2207117000000.0,-1601353000000.0,3404523000000.0,1017649000000.0,-230356000000.0,-53655000000.0,1388665000000.0,-1507526000000.0,-330390000000.0,,-1246595000000.0,,,
JSMR.JK,2018-12-31,0.0,-7178665000000.0,5552294000000.0,6214149000000.0,2202602000000.0,-930067000000.0,909827000000.0,1101920000000.0,-2388063000000.0,-219687000000.0,1064470000000.0,6739144000000.0,-440065000000.0,,-356755000000.0,,,
CASA.JK,2021-12-31,0.0,587134000000.0,1000000000000.0,997759000000.0,19405000000.0,4002472000000.0,2417579000000.0,-2244000000.0,2321743000000.0,-3835000000.0,76431000000.0,1993685000000.0,,3000000.0,-1402716000000.0,,,
CASA.JK,2020-12-31,0.0,-949487000000.0,1000000000000.0,3000000.0,62874000000.0,-237453000000.0,712031000000.0,-2244000000.0,590207000000.0,-105237000000.0,58950000000.0,874537000000.0,,3000000.0,-1718787000000.0,,,
CASA.JK,2019-12-31,0.0,-3560880000000.0,1000000000000.0,1000000.0,61175000000.0,4018602000000.0,7579481000000.0,-2244000000.0,7514228000000.0,-5581000000.0,4078000000.0,811236000000.0,,1000000.0,-4366535000000.0,,,
CASA.JK,2018-12-31,0.0,-4950949000000.0,1000000000000.0,4333327000000.0,124406000000.0,-276564000000.0,341058000000.0,-8006000000.0,213806000000.0,-3671000000.0,2846000000.0,-111134000000.0,,4341333000000.0,-4836144000000.0,,,
SIDO.JK,2021-12-31,0.0,-124305000000.0,-6375000000.0,-1025193000000.0,1260898000000.0,50265000000.0,1199317000000.0,-7664000000.0,-164260000000.0,-122553000000.0,102679000000.0,-2657000000.0,-1018142000000.0,6988000000.0,,446000000.0,,
SIDO.JK,2020-12-31,0.0,-95119000000.0,-2183000000.0,-774907000000.0,934016000000.0,167130000000.0,1035754000000.0,-7664000000.0,-2078000000.0,-95139000000.0,103816000000.0,-1134000000.0,-773988000000.0,1264000000.0,,1402000000.0,,
