emiten,tanggal,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,dividendsPaid,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,repurchaseOfStock,otherCashflowsFromInvestingActivities,issuanceOfStock
DMMX.JK,2021-12-31,-138961714000.0,0.0,-183500553450.0,-16407127101.0,104222850658.0,,239355619977.0,-9713080707.0,,69564622085.0,16185239912.0,,120629977759.0,-185976237804.0,-23681947007.0,,-20856892443.0,
DMMX.JK,2020-12-31,83702750321.0,0.0,34182798508.0,2177196836.0,-25298228304.0,,31918591277.0,-190812860462.0,,-199697430666.0,3867701688.0,,-655784940.0,-235483723631.0,-70558077140.0,-26819640200.0,25958098258.0,
DMMX.JK,2019-12-31,-103775403961.0,0.0,-179312542641.0,-294861112.0,639720582983.0,,16563609649.0,434875739896.0,,-25136073021.0,391945246.0,,-15515326905.0,-42091627916.0,-74799138680.0,-26819640200.0,25958098258.0,655530771000.0
DMMX.JK,2018-12-31,-103775403961.0,0.0,-363494923.0,-955406758.0,13144593242.0,,7571623257.0,2028172722.0,,-10752925597.0,62435905.0,,600000000.0,-18386984759.0,-171824298.0,-26819640200.0,25958098258.0,13500000000.0
SCMA.JK,2021-12-31,-14893017000.0,0.0,-255730201000.0,-715097734000.0,1450004491000.0,,1347464222000.0,2554300310000.0,12739525000.0,1324800543000.0,248122068000.0,,2212240857000.0,-270785747000.0,-234423584000.0,-47138632000.0,1628742000.0,
SCMA.JK,2020-12-31,-5732465000.0,0.0,-228209548000.0,1300809857000.0,-1491737915000.0,,1148342286000.0,133336854000.0,2757534000.0,1844553753000.0,241002848000.0,,-991524000.0,455208619000.0,-189177930000.0,-2791556248000.0,1628742000.0,
SCMA.JK,2019-12-31,-164740964000.0,0.0,-1102474720000.0,-5461630000.0,-541315280000.0,,1070166566000.0,-448963162000.0,1740916000.0,1193085922000.0,176627584000.0,-820266658000.0,-1777328000.0,-53708228000.0,-595037183000.0,-73809662000.0,52583554000.0,359999998000.0
SCMA.JK,2018-12-31,-7838357000.0,0.0,-132706683000.0,-50056820000.0,-854865787000.0,,1484762240000.0,748749335000.0,-1691936000.0,1671725614000.0,164582275000.0,-804175207000.0,-633760000.0,22381099000.0,-293706124000.0,-73809662000.0,52583554000.0,359999998000.0
AALI.JK,2021-12-31,,0.0,-1186688000000.0,,-891402000000.0,,1971365000000.0,2917130000000.0,100101000000.0,4895119000000.0,1282462000000.0,-490745000000.0,-400657000000.0,1641292000000.0,-1229482000000.0,,42794000000.0,
AALI.JK,2020-12-31,,0.0,-999198000000.0,-150000000000.0,-767945000000.0,,833090000000.0,595526000000.0,40505000000.0,2322164000000.0,1336899000000.0,-175130000000.0,-442815000000.0,152175000000.0,-999198000000.0,,42794000000.0,
AALI.JK,2019-12-31,,0.0,-1307383000000.0,1160550000000.0,334094000000.0,,211117000000.0,334284000000.0,15220000000.0,1292353000000.0,1472767000000.0,-431091000000.0,-395365000000.0,-391531000000.0,-1307383000000.0,,42794000000.0,
AALI.JK,2018-12-31,,0.0,-1678767000000.0,525000000000.0,-609332000000.0,,1438511000000.0,-213210000000.0,29654000000.0,2045235000000.0,1260173000000.0,-835247000000.0,-299085000000.0,-653449000000.0,-1608768000000.0,,-69999000000.0,
FASW.JK,2021-12-31,,0.0,-492522000000.0,537580000000.0,364128000000.0,,614926000000.0,42722000000.0,,171116000000.0,333102000000.0,-173452000000.0,,-776912000000.0,-490167000000.0,,-2628000000.0,
FASW.JK,2020-12-31,,0.0,-768136000000.0,770232000000.0,314300000000.0,,353299000000.0,1049000000.0,,454885000000.0,260834000000.0,-455932000000.0,,-159248000000.0,-761698000000.0,,-5930000000.0,
FASW.JK,2019-12-31,,0.0,-812327657436.0,12051387959.0,-557863033051.0,,968833699309.0,-253971194682.0,,1116219495805.0,228709445836.0,-569914421010.0,,-81323649340.0,-809723203537.0,,-5625691627.0,
FASW.JK,2018-12-31,,0.0,-1029900982182.0,-234555739774.0,-635973723268.0,,1405367808100.0,67369296012.0,,1733244001462.0,214064892991.0,-401417983494.0,,113811300371.0,-1027438286638.0,,-1886125000.0,
GOOD.JK,2021-12-31,,0.0,-331109457048.0,-135715983088.0,-333670697865.0,,424826659580.0,44987086321.0,,709767241234.0,353089512253.0,-131923972638.0,,-68148930599.0,-188071904604.0,-66030742139.0,-10974930658.0,
GOOD.JK,2020-12-31,-16025819595.0,0.0,-1232356550996.0,976583637330.0,732718702528.0,,259412261010.0,374202437907.0,,873840286375.0,331449185173.0,-206628248148.0,-7157779178.0,282978840192.0,-459459401600.0,-30078907476.0,-6364003580.0,
GOOD.JK,2019-12-31,-1571559103.0,0.0,-700018521732.0,625171213536.0,492791465514.0,,416859403048.0,267439216769.0,,474666272987.0,229818257838.0,-125452864947.0,-6926883075.0,-178410742203.0,-709841063550.0,-30078907476.0,-6364003580.0,
GOOD.JK,2018-12-31,-1571559103.0,0.0,-721661363376.0,297752768429.0,152003679729.0,,404926053034.0,86926225375.0,,656583909022.0,190193861694.0,-177000000000.0,-13689088700.0,58308497671.0,-732330261483.0,-30078907476.0,-6364003580.0,44940000000.0
CMNT.JK,2021-12-31,,0.0,-1614143000000.0,374927000000.0,773155000000.0,,287793000000.0,49702000000.0,8326000000.0,882364000000.0,781391000000.0,,-729288000000.0,-186820000000.0,-1644741000000.0,,,1127516000000.0
CMNT.JK,2020-12-31,,0.0,-350500000000.0,-617038000000.0,-1323120000000.0,,500069000000.0,-51650000000.0,4812000000.0,1617158000000.0,737140000000.0,,-706082000000.0,379949000000.0,-350871000000.0,,,1127516000000.0
CMNT.JK,2019-12-31,,0.0,-542914000000.0,-318745000000.0,-1093801000000.0,,53161000000.0,130030000000.0,-18144000000.0,1784889000000.0,610038000000.0,,-775056000000.0,1121690000000.0,-545437000000.0,,,1127516000000.0
CMNT.JK,2019-01-01,,0.0,-870018000000.0,21722000000.0,-820733000000.0,,-810442000000.0,-436389000000.0,15131000000.0,1239231000000.0,837597000000.0,,-842455000000.0,1212076000000.0,-780656000000.0,,,1127516000000.0
BBKP.JK,2021-12-31,-8723147000000.0,0.0,-8736580000000.0,-2811627000000.0,12446473000000.0,1217196000000.0,-2282245000000.0,8970484000000.0,-3250000000.0,5263841000000.0,250256000000.0,,8219495000000.0,-200907000000.0,-116734000000.0,,,7038605000000.0
BBKP.JK,2020-12-31,1805420000000.0,0.0,1308758000000.0,4235951000000.0,-16542672000000.0,11012101000000.0,-3255895000000.0,-3977032000000.0,6655000000.0,11250227000000.0,253059000000.0,,-24726070000000.0,1833025000000.0,-498080000000.0,,,3947447000000.0
BBKP.JK,2019-12-31,-338191000000.0,0.0,-442094000000.0,1247560000000.0,4077421000000.0,-4448506000000.0,216324000000.0,-1326583000000.0,11323000000.0,-4973233000000.0,114820000000.0,,2829861000000.0,-798578000000.0,-79013000000.0,,,3947447000000.0
BBKP.JK,2018-12-31,2862442000000.0,0.0,2619567000000.0,-1189860000000.0,-10809826000000.0,4876837000000.0,189595000000.0,-3253198000000.0,15307000000.0,4921754000000.0,108369000000.0,,-11076365000000.0,-444073000000.0,-194063000000.0,,,1456399000000.0
BBTN.JK,2021-12-31,4249928000000.0,0.0,3834455000000.0,-6794035000000.0,7281334000000.0,-13202028000000.0,2376227000000.0,6592352000000.0,,-4523437000000.0,556034000000.0,,14075369000000.0,53920000000.0,-415473000000.0,,,
BBTN.JK,2020-12-31,-22928790000000.0,0.0,-23726876000000.0,476847000000.0,48220686000000.0,-5030997000000.0,1602358000000.0,3387647000000.0,,-21106163000000.0,528767000000.0,-20927000000.0,47764766000000.0,-256365000000.0,-798086000000.0,,,
BBTN.JK,2019-12-31,-6710545000000.0,0.0,-7077106000000.0,9001954000000.0,5828232000000.0,-19638834000000.0,209263000000.0,-13465098000000.0,,-12216224000000.0,314233000000.0,-561585000000.0,-2612137000000.0,2899222000000.0,-366561000000.0,,,
BBTN.JK,2018-12-31,2216236000000.0,0.0,1689493000000.0,7203797000000.0,38470517000000.0,-36259889000000.0,2807923000000.0,5877367000000.0,,-34282643000000.0,293048000000.0,-605493000000.0,31872213000000.0,485690000000.0,-526743000000.0,,,
PNBN.JK,2021-12-31,5806900000000.0,0.0,5686172000000.0,-9484265000000.0,-18052023000000.0,6012667000000.0,2063473000000.0,-803399000000.0,-34917000000.0,11597369000000.0,368566000000.0,,-8567758000000.0,5005893000000.0,-188308000000.0,,59213000000.0,
PNBN.JK,2020-12-31,-25968609000000.0,0.0,-26274708000000.0,-2597810000000.0,6586133000000.0,9374205000000.0,3103248000000.0,-740073000000.0,187012000000.0,18761490000000.0,458028000000.0,,9188176000000.0,2506050000000.0,-258656000000.0,-4233000000.0,35740000000.0,
PNBN.JK,2019-12-31,-3716374000000.0,0.0,-3798947000000.0,-762302000000.0,-3742872000000.0,4464669000000.0,3316841000000.0,-136159000000.0,-174142000000.0,7585110000000.0,323095000000.0,,-2980570000000.0,1311486000000.0,-75555000000.0,-4233000000.0,24393000000.0,
PNBN.JK,2018-12-31,-3716374000000.0,0.0,-79520000000.0,8271533000000.0,-2313607000000.0,-5326572000000.0,3112580000000.0,-2333921000000.0,150302000000.0,-91096000000.0,279037000000.0,,-10585140000000.0,1820645000000.0,-110418000000.0,-4233000000.0,40914000000.0,
